title,text,subject,date,reliable
HOLLYWOOD LIBS HAVE EPIC MELT DOWNS…Threaten President Trump Over His Transgender Military Policy,"Hollywood stars took to social media Wednesday to express outrage over President Donald Trump s announcement that transgender people will not be allowed to serve in the U.S. military, reversing former President Obama s decision last year allowing them to do so. After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow Transgender individuals to serve in any capacity in the U.S. Military,  President Trump tweeted Wednesday morning.  Our military must be focused on decisive and overwhelming victory and cannot be burdened with the tremendous medical cost and disruption that transgender in the military would entail. Thank you. After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow  Donald J. Trump (@realDonaldTrump) July 26, 2017 .Transgender individuals to serve in any capacity in the U.S. Military. Our military must be focused on decisive and overwhelming ..  Donald J. Trump (@realDonaldTrump) July 26, 2017 .victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you  Donald J. Trump (@realDonaldTrump) July 26, 2017The news spurred some stars to viciously attack the president, with some calling Trump a cruel bigot. -For entire story: BreitbartStar Trek actor and gay activist George Takei sent what appeared to be a threat to Trump, warning that he  just pissed off the wrong community  and said the president  will regret  this action.Donald: With your ban on trans people from the military, you are on notice that you just pissed off the wrong community. You will regret it.  George Takei (@GeorgeTakei) July 26, 2017Takei also tweeted:  History shall record that you are not only the stupidest, most incompetent president ever, but also the cruelest and pettiest. #Shame.  The actor also issued a call to action:Invidious discrimination against any group must be opposed by all. Straight/Cis allies: Will you stand with LGBTs?#TransRightsAreHumanRights  George Takei (@GeorgeTakei) July 26, 2017Not funny actor/comedian Seth Rogan went after President Trump s daughter Ivanka on Twitter because, of course. Remember when Americans blamed Chelsea for Benghazi or for her the victims of her serial rapist father?Loudmouth actor, filmmaker and producer Rob Reiner, aka  Meathead  fired off another one in a series hateful tweets to President Trump since he took office:Not allowing transgender people to serve in military,DT again shows astounding ignorance & bigotry. Simply put:DT is a hateful human being.  Rob Reiner (@robreiner) July 26, 2017Leftist actress and vocal Trump hater Debra Messing came up with a very clever little saying. She was clearly hoping to make her hashtag trend. It didn t #MakingAmericaDiscriminateAgain https://t.co/TX6HuIuHwD  Debra Messing (@DebraMessing) July 26, 2017Lena Dunham, the not funny  comedian  who admitted to sexually abusing her younger sister tweets words of comfort to transgenders following the announcement of President Trump s new transgender policy. Who better to speak out on behalf of transgenders than a pedophile, Hillary-loving Hollywood lib?Hey trans teens: this man does not represent the overwhelming love, support and pride waiting for you when you step out into the world.  Lena Dunham (@lenadunham) July 26, 2017",left-news,"Jul 26, 2017",0
Trump HUMILIATED Over Name-Drop That’s Worse Than Frederick Douglass Gaffe (TWEETS),"Is The Donald really this oblivious to the entire world? And history? And, well, everything? Two and a half months after embarrassing himself by implying that Frederick Douglass was still alive, he embarrasses himself by dropping the name of yet another famous person who has passed away   Luciano Pavarotti. He didn t just imply that Pavarotti is still living today (he died of pancreatic cancer ten years ago). While he and Italy s prime minister held a joint press conference, he must have decided to praise Italy for the gift of Pavarotti (or rather, he decided to use Pavarotti to puff himself up and appear more superior) by saying: Pavarotti, friend of mine, great friend of mine. First off, as stated before, Pavarotti is no longer gracing the world with his amazing tenor voice. Twitter made a point of reminding Trump of that:@kylegriffin1 @colattesipper @MSNBC Which is when I wish that Trump had died, instead of Pavarotti. Since at least Pavarotti could sing, and Trump can t do anything ..sad!  Conversation Bug (@Conversationbug) April 20, 2017I can t get enough of this.#Trump #pavarotti such good friends.#FakePresident#FakeFriends#DeadFriends https://t.co/stId5Lkx0N  Betsy (@studio_gal) April 20, 2017So Trump let everyone know that Pavarotti is a friend of his. Maybe he ll invite Pavarotti and Frederick Douglass to attend a WH dinner.  Gail Stein (@gailstein) April 20, 2017@kylegriffin1 @jefferyrhenry @MSNBC Is Trump inviting Frederick Douglass and Pavarotti for unbelievable chocolate cake?   Leticia   (@ColinLeti) April 20, 2017@ALT_uscis We re still at zero for the number of days he hasn t been an embarrassment to this country.  Kim Thompson (@KimYarnwrangler) April 20, 2017@ALT_uscis  Chef Boyardee. The best chef. Great friend of mine. He cooks for me all the time. Love his food.  Anybody s Guess (@boxcarbrenda) April 20, 2017@kylegriffin1 @MSNBC Since Trump and Pavarotti are such  great  friends I m sure he ll be saddened to hear of his passing  #LobCitySoldier (@RealAnthony14) April 20, 2017Trump & Pavarotti were great friends. They d get together & wear each other s sports bras.  Good DAY, Sir! (@xISaidGoodDAY) April 20, 2017Little known fact: Trump still gets together every weekend with Joe Paterno and Luciano Pavarotti for Trump s Little Italy club. https://t.co/h5z6faw64l  Joe Bob #721 (@JHowieJr) April 20, 2017Trump should have asked Pavarotti to sing at his inauguration.  William Peace ?? (@WilliamPeace81) April 20, 2017@sddphoto @ntned I know who Pavarotti is, but I don t know why Trump thinks he is still alive.  sara caudell (@CaudellSara) April 20, 2017Don t worry, guys. Pavarotti told Marcello Mastroianni we should keep acting as if Trump s normal, and Marcello told me.  Suzanne Munshower (@expatina) April 20, 2017@IMPL0RABLE @teka21bat Trump s presser with Italian PM is so cringe worthy, his good friend Pavarotti can t even stand to watch it.  (((Shelley Rivlin))) (@srivlin) April 20, 2017But it s also not likely that Pavarotti was any friend of Trump s at all. Trump repeatedly used a recording of him singing Puccini s  Nessun Dorma  during his campaign, and his family asked Trump to stop.  Nessun Dorma  means  None Shall Sleep,  and Pavarotti s rendition has a climax where he sings  Vincero  three times, which means  I will win. We all know how Trump likes to  win. The family issued a statement that said: As members of his immediate family, we would like to recall that the values of brotherhood and solidarity which Luciano Pavarotti expressed throughout the course of his artistic career are entirely incompatible with the world view offered by the candidate Donald Trump. Trump may well have met Pavarotti at some point, but one would think that, if they had been great friends, he would have at least been able to act like he knew Pavarotti was gone. The family may also have taken that into account regarding the use of Pavarotti s aria at rallies if it were true.So not only did he again demonstrate that he doesn t know a damn thing about anything that goes on, and he likely lied about being great friends with that man. Pavarotti was a great man. Trump is an insecure, pathetic fraction of a man.Watch below:Featured image by Mark Wilson via Getty Images",News,"April 20, 2017",0
Yellen to testify at House Financial Services panel February 10: committee,"WASHINGTON (Reuters) - Federal Reserve Chair Janet Yellen will appear before the U.S. House of Representatives Financial Services Committee on Feb. 10 to deliver the central bank’s semi-annual monetary policy report, the committee said on Wednesday. The head of the central bank last testified before the committee in July.",politicsNews,"January 20, 2016",1
What’s the Leading Killer of American Adults Under 50? Drug Overdose.,"21st Century Wire says Last April, the UN general assembly met to discuss how the world s nations can  combat the global drug problem.  It was just the latest non-event in a long line of categorical failures, led by the United States. Ever since US president Richard Nixon declared the  War on Drugs  in 1971, the international narcotics trade has grown from strength to strength, in a black global market that is now worth hundreds of billions of dollars per year. After Nixon, other US presidents tried to champion the issue, from Reagan to Clinton, Bush and Obama. Each of them presided over one epic failure after another. However, where long-term data is available, it does point to systematic failures in drug policies. A study published in the British Medical Journal in 2013 found that despite efforts to limit the supply of these drugs, since 1990 prices have fallen while the purity of the drugs has increased. The trends were similar in the US and in Europe. The authors  conclusion was clear:  These findings suggest that expanding efforts at controlling the global illegal drug market through law enforcement are failing.  (The Guardian)As a direct result of the policies of western governments led by the US, and their corrupt accomplices in the international banking, UN and NGO sectors  in 2017, cheaper, newer and more deadly drugs continue to ruin families and communities, and millions of lives in the new western underclass and youth population Zero HedgeThe opioid crisis that is ravaging urban and suburban communities across the US claimed an unprecedented 59,000 lives last year, according to preliminary data gathered by the New York Times. If accurate, that s equivalent to a roughly 19% increase over the approximately 52,000 overdose deaths recorded in 2015, the NYT reported last year.Overdoses, made increasingly common by the introduction of fentanyl and other powerful synthetic opioids into the heroin supply, are now the leading cause of death for Americans under 50. And all evidence suggests the problem has continued to worsen in 2017. One coroner in Western Pennsylvania told a local newspaper that his office is literally running out of room to store the bodies, and that it was recently forced to buy a larger freezer.The initial data points to large increases in these types of deaths in states along the East Coast, particularly Maryland, Florida, Pennsylvania and Maine. In Ohio, which filed a lawsuit last week accusing five drug companies of abetting the opioid epidemic, the Times estimated that overdose deaths increased by more than 25 percent in 2016.In some Ohio counties, deaths from heroin have virtually disappeared. Instead, the primary culprit is fentanyl or one of its many analogues. In Montgomery County, home to Dayton, of the 100 drug overdose deaths recorded in January and February, only three people tested positive for heroin; 97 tested positive for fentanyl or another analogue.In some states in the western half of the US, data suggest deaths may have leveled off for the time being   or even begun to decline. Experts believe that the heroin supply west of the Mississippi River, traditionally dominated by a variant of the drug known as black tar which is smuggled over the border from Mexico, isn t as easily adulterated with lethal analogues as the powder that s common on the East Coast Continue this story at Zero HedgeREAD MORE WAR ON DRUGS NEWS AT: 21st Century Wire War on Drugs FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",US_News,"June 8, 2017",0
"U.S. Interior Department wants more oil drilling, expedite ANWR permits","(Reuters) - The Department of the Interior, the U.S. government’s second largest revenue generator behind the IRS, is trying to be a better business partner to oil companies to curb falling revenues, Vincent DeVito, energy advisory to the Secretary of the Interior, said on Thursday. The department plans to expedite permitting on drilling in Arctic National Wildlife Refuge (ANWR) in Alaska, DeVito said  at the S&P Global Platts Energy outlook in New York.   Expediting the process would not be at the expense of environmental stewardship, he said.",politicsNews,"December 7, 2017",1
"Trump takes steps to reset his campaign, tries to soften his image","WASHINGTON (Reuters) - Republican front-runner Donald Trump took fresh steps to reset his campaign on Wednesday, hiring a top Republican operative and scheduling a meeting between aides and U.S. lawmakers as he girds for a new phase in his White House bid. Trump is under pressure to professionalize his campaign beyond a close-knit group of advisers and expand the appeal of his anti-establishment candidacy in the face of fierce opposition from rival U.S. Senator Ted Cruz of Texas and a well-funded anti-Trump operation run by establishment Republicans. Trump announced he had hired Rick Wiley as his national political director. Wiley, a long-time Republican strategist, had been campaign manager for Scott Walker, the Wisconsin governor who dropped out of the presidential race last autumn. “He brings decades of experience, and his deep ties to political leaders and activists across the country will be a tremendous asset as we enter the final phase of securing the nomination,” Trump said in a statement. In addition, Trump’s campaign arranged a meeting in Washington of about a dozen U.S. legislators as the fierce anti-establishment candidate tries to build more relationships inside Washington and broaden his appeal. The meeting with the lawmakers and senior Trump adviser Ed Brookover is planned for Thursday morning on Capitol Hill, congressional aides said. About a dozen lawmakers are expected to attend, some of whom have endorsed Trump and some of whom have not but who are interested in his message. Trump will not be there. A series of policy speeches Trump plans to begin delivering soon could be among the topics discussed, one source said. “They’re definitely planning several policy speeches ... and they are looking for input on those,” a Republican source familiar with the situation said. The Trump campaign received some good news when Politico reported that campaign manager Corey Lewandowski, who was charged last month in Florida with battery on a reporter, will not be prosecuted. Palm Beach County State Attorney David Aronberg is scheduled to announce the decision not to press charges on Thursday afternoon, Politico reported, citing sources with knowledge of the situation. In another development, Trump met privately at Trump Tower in New York with Fox News anchor Megyn Kelly after months of attacking her for the tough questions she asked him at a Republican debate last August about his treatment of women. Tensions between Trump and Kelly, and controversial remarks he has made about abortion, have contributed to Trump’s negative image with women. Opinion polls show the New York billionaire is viewed unfavorably by women by a wide margin. Kelly said on her Fox News show she had asked for the meeting and used it to request an interview. “We met for about an hour just the two of us and had a chance to clear the air,” she said. In recent days Trump has attempted to soften his image with important constituencies such as female voters. A group interview on CNN on Tuesday night featured Trump, his wife, Melania, daughter Ivanka and sons Eric and Donald Jr., and showed a more personal side to the often-brusque businessman. Melania Trump said she had fussed at Trump to stop tweeting at night. “If he would only listen,” she said, chuckling. Republican strategist Ron Bonjean said the hiring of Wiley and, two weeks ago, of delegate specialist Paul Manafort suggest that Trump is preparing for a contested convention in July should he not win outright the 1,237 delegates needed for the Republican presidential nomination.  “Without having good people on your team who understand how to navigate those waters, you’re in big trouble,” he said. The steps point to a new phase of Trump’s campaign after vulnerabilities were exposed when he was beaten in Wisconsin by Cruz and outmaneuvered by Cruz in the competition for delegates in Colorado. As the Trump campaign attempts to get a better handle on the complicated delegate selection process, Trump is expected to send a contingent to a Republican National Committee (RNC) meeting in Florida next week. Trump has been in a war of words with the RNC, accusing the party apparatus of having rules that, for example, allowed party regulars in Colorado to select delegates without giving Republicans there a chance to vote. Trump on Tuesday said that RNC Chairman Reince Priebus “should be ashamed of himself.” Priebus, who met Trump two weeks ago at RNC headquarters in Washington, said the delegate-selection rules have been in place for a year and it is the responsibility of each campaign to understand them. “Complaints now? Give us all a break,” Priebus tweeted.",politicsNews,"April 13, 2016",1
BREAKING: Man Rushes To Paris Police Station Doors With Knife Screaming “Allahu Akbar”…Was He Another “Muslim Clock Boy?”,"It doesn t appear the man rushing to doors of a Paris police station with a knife, screaming  Allahu Akbar  wearing a fake suicide vest will garner a visit to France s President Francois Hollande s office. While France has made the decision to take a hard-line on Muslim terrorists, Obama and his Attorney General, Loretta Lynch have taken a hard-line against any American who uses language that they consider  hate speech  against Muslims. The idea that the  Muslim Clock Boy  (a term that we coined) was able to take a fake bomb to school and become an overnight celebrity, as our  victim of the month  in America tells us all we need to know about how seriously the Left has taken the threat of terrorism in America. Paris police shot dead on Thursday a man wielding a knife after he tried to enter a police station shouting  Allahu Akbar  (God is Great) and wearing what turned out to be a fake suicide belt.The incident took place exactly one year after deadly Islamist militant attacks on the Charlie Hebdo satirical magazine in the French capital and also just minutes after President Francois Hollande had given a speech in an another part of Paris to mark the anniversary. The man may have been wearing something that could be a suicide belt,  Interior Ministry spokesman Pierre-Henry Brandet told BFM TV. Brandet later confirmed to Reuters that the suicide belt was fake.France has been on high alert ever since the shootings last January at the Charlie Hebdo office and at a Jewish supermarket in which 17 people died over three days.Security concerns were further heightened in November, when 130 people were killed in the capital in coordinated shootings and suicide bombings that targeted a music hall, bars and restaurants and a soccer stadium.Islamic State, the militant group that controls swathes of Iraq and Syria, claimed responsibility for the Nov. 13 attacks. Several of the militants involved in those attacks were, like last January s killers, French-born.In Thursday s incident, the man tried to force his way into the police station in the 18th district in northern Paris, an area that Islamic State said it had been planning to hit as part of the November attacks.WIRES PROTRUDING According to our colleagues, he wanted to blow himself up,  an official at the Alternative Police union said.  He shouted Allahu Akbar and had wires protruding from his clothes. That s why the police officer opened fire. Officials said bomb disposal experts were on site.Journalist Anna Polonyi, who could see the outside of the police station from the window of her flat, posted photos on social media that showed what appeared to be a bomb-disposal robot beside the body.She told Reuters that her sister, in the flat with her, had seen the incident happen. She said the police shouted at the man and that he then started running towards them before they shot him.Last year s attacks have boosted the popularity of the far-right National Front party ahead of a presidential election due in 2017.In his speech, Hollande promised to better equip police to prevent further militant attacks.The president also defended draconian security measures implemented since November that his Socialist government had once shunned. Via: Reuters",left-news,"Jan 7, 2016",0
OBAMA DANCES At Last-Ever White House Gig To Drake’s “Hotline Bling” [Video],NA,politics,"Oct 23, 2016",0
Zimbabwe's opposition leader Tsvangirai back in South African hospital,"HARARE (Reuters) - Zimbabwe opposition leader Morgan Tsvangirai is back in a South African hospital for a medical review, nearly two weeks after he returned home from that country, his spokesman said on Friday, denying reports that he was critically ill. Tsvangirai, who suffered severe vomiting after a party meeting and was in September airlifted to a Johannesburg hospital where he spent nearly a month receiving treatment and recuperating. He returned to Zimbabwe on Oct. 13 but has not been seen in public since.  He came back knowing full well he would return for a review and he went for the review as scheduled,  Luke Tamborinyoka, Tsvangirai s spokesman said.  He could not say when he expected Tsvangirai back.     Tsvangirai s illness has divided the opposition, with some senior party officials saying the former trade unionist should consider stepping down to make way for a younger and fit leader. Tsvangirai, 65, declared last year that he was receiving treatment for colon cancer. Despite the illness, he is leading an opposition alliance to challenge 93-year-old President Robert Mugabe in elections next year.",worldnews,"October 27, 2017",1
Trump's 'America First' push not protectionist: UPS CEO,"SEATTLE (Reuters) - Republican U.S. President Donald Trump’s efforts to renegotiate or scrap longstanding global trade deals are not protectionist and are more focused on winning better terms for American businesses, the top executive of United Parcel Service (UPS.N) said on Thursday. “I have to tell you, we don’t consider what we are hearing from the president as protectionist,” Chief Executive Officer David Abney told Reuters in a phone interview after the world’s largest package delivery company reported a higher-than-expected second-quarter net profit. “Protectionist would be ‘we don’t want trade agreements’ and just try to protect the U.S. in that regard,” he added. “It’s much more about having more favorable terms than it is about protectionism.” Abney’s remarks come as the Trump administration nears the August 16 start of talks with Mexico and Canada to renegotiate the North American Free Trade Agreement (NAFTA). Trump has repeatedly called the 1994 trade treaty a “disaster” that has shuttered U.S. factories and sent American jobs to Mexico. UPS has been expanding its services into Mexico. Ahead of NAFTA negotiations, Abney said UPS has told the Trump administration it wants to “take friction” out of border crossings to speed them up and modernize the agreement with language about ecommerce. “I’d be more worried if there were no changes to the deal,” he said, adding that NAFTA needs to be modernized. “We believe that we’ve been listened to.”  In a conference call with analysts earlier on Thursday, Abney praised a free trade pact Japan and the European Union concluded in early July creating the world’s biggest open economic area. The CEO also reiterated UPS’ previous strong support for the Trans-Pacific Partnership (TPP) and a desire to see the U.S. enter into trade agreements with its member countries.  The Japan-EU trade deal was interpreted as signaling resistance to what many world leaders see protectionism by Trump. On the campaign trail and in the White House, Trump has championed “America First” policy positions on trade, promising new or revised deals to boost American manufacturing.  In January, shortly after taking office, Trump formally withdrew America from the TPP. The 12-nation trade deal was negotiated by former Democratic President Barack Obama’s administration. UPS on Thursday reported a higher-than-expected quarterly net profit due to rising ecommerce deliveries even as investors worried about the company’s performance in the back-half of the year and shares fell 4.6 percent.",politicsNews,"July 27, 2017",1
Italy high court upholds four-year sentence on veteran banker Geronzi,"ROME (Reuters) - Italy s highest court on Friday upheld a four-year jail sentence on the former chairman of Generali Cesare Geronzi for his role in the 2003 bankruptcy of food company Cirio. The decision, by the Rome-based Court of Cassation, is final and cannot be appealed. However, three of the four years will be wiped out under a national amnesty and Geronzi, a symbol of old-style Italian capitalism, will not actually serve any jail time because of his age, 82. In April 2015 an appeals court had handed Geronzi a four- year prison sentence for bankruptcy, confirming the previous sentence in a long court battle that started in 2003.  Geronzi s lawyers over the years have argued that he had no specific powers over Cirio at the time of its bankruptcy, when he was at the helm of lender Capitalia, and that he had acted correctly. The Rome Court of Cassation also ordered on Friday a new trial for Cirio s ex-chief, Sergio Cragnotti, who was handed a sentence of eight years and eight months in 2015.",worldnews,"October 6, 2017",1
Trump mum on healthcare plan's future if it fails to pass House,"WASHINGTON (Reuters) - U.S. President Donald Trump on Wednesday declined to say what steps he would take if Republican leaders’ proposed legislation to dismantle Obamacare failed to pass the House of Representatives. Asked whether he will keep pushing the bill aimed at replacing former President Barack Obama’s Affordable Care Act if a vote on the replacement fails, Trump told reporters: “We’ll see what happens.”",politicsNews,"March 22, 2017",1
NAFTA negotiation round extended by two days: Mexico sources,"MEXICO CITY (Reuters) - The fourth round of talks to renegotiate the North American Free Trade agreement have been prolonged until Oct. 17, two sources in Mexico said on Tuesday, as negotiators gathering in Washington were expected to start tackling difficult issues. The round of talks due to begin on Wednesday is expected to include discussions about including quotas for U.S. content in autos, a major bone of contention for Mexico, Canada and many companies. Previously, the talks were due to end on Oct. 15. The news was first reported by Bloomberg earlier on Tuesday.",politicsNews,"October 10, 2017",1
Use it or lose it: Occasional Ohio voters may be shut out in November,"CINCINNATI (Reuters) - When Larry Harmon tried to vote on a marijuana initiative in November in his hometown of Kent, Ohio, the 59-year-old software engineer found his name had been struck from the voter rolls. Two hours south in Zanesville, restaurant worker Chris Conrad, 37, was also told he was no longer registered. Both men later found out why: they had not voted often enough. As the Nov. 8 elections loom, officials in Ohio have removed tens of thousands of voters from registration lists because they have not cast a ballot since 2008.  All U.S. states periodically cleanse their voter rolls, but only a handful remove voters simply because they don’t vote on a regular basis. And nowhere could the practice have a greater potential impact in the state-by-state battle for the White House than Ohio, a swing state that has backed the winner in every presidential election since 1960. Voters of all stripes in Ohio are affected, but the policy appears to be helping Republicans in the state’s largest metropolitan areas, according to a Reuters survey of voter lists. In the state’s three largest counties that include Cleveland, Cincinnati and Columbus, voters have been struck from the rolls in Democratic-leaning neighborhoods at roughly twice the rate as in Republican neighborhoods. That’s because residents of relatively affluent Republican-leaning neighborhoods are more likely to vote in both congressional elections and presidential contests, historical turnouts show. Democrats are less likely to vote in mid-term elections and thus are more at risk of falling off the rolls.  In the three biggest counties, at least 144,000 voters have been removed, the Reuters analysis found. The statewide total is unclear. Each of the state’s 88 counties manages its own voter rolls, which generally are not made public.  Unlike other voting-rights disputes that have sparked protests and lawsuits, the practice doesn’t appear to be driven by one specific party. Both Republican and Democratic officials in Ohio have purged inactive voters over the past 20 years. But neighborhoods that have a high proportion of poor, African-American residents are hit hardest, the Reuters analysis found. “It’s absolutely unfair,” said Donna Porter-Jones, an organizer at Amos Project, an interfaith group that aims to register 30,000 voters from some of Cincinnati’s poorest neighborhoods ahead of November.  Ohio Secretary of State Jon Husted, a Republican, says canceling registrations for voters who missed three straight federal elections helps keep voting rolls current. Since 2011, the state has cleared out more than 2 million records of people who have moved or died, he said.  Those who don’t vote over a six-year stretch or respond to a postcard mailed to their address have only themselves to blame, he said. “If this is really important thing to you in your life, voting, you probably would have done so within a six-year period,” he said in an interview. People who don’t respond to the postcard can be removed from voting lists if they sit out the next two federal elections. Many other states only remove voters from the rolls if they have died or moved to a new address. “You shouldn’t be struck of your right to vote because you skipped an election,” said Kathleen Clyde, a Democratic state representative who has been fighting the practice. Four civil liberties groups sued to end the practice last month, arguing that it violates federal law and unfairly targets low-income and minority voters.   Voting-rights advocates say they are concerned that many infrequent voters who helped drive turnout to a record in the 2008 presidential election won’t be able to vote in this year’s likely matchup between Democrat Hillary Clinton, vying to become the first female president, and Republican Donald Trump, the celebrity billionaire. The Ohio lawsuit is one of a number being fought across the country. Photo ID requirements and other efforts to tighten voting laws have spurred fierce partisan battles and protests in recent months. They follow a Supreme Court decision in 2013 that struck down parts of the Voting Rights Act, a signature achievement of the civil rights movement in the 1960s. The Ohio dispute, by contrast, centers on a practice that has been in place for decades but is receiving new attention from civil liberties groups and Democrats ahead of November.  “We are pleased the courts are reviewing the state’s actions,” said Pratt Wiley, national director of voter expansion at the Democratic Party in Washington. Republican party officials at the local and national level, as well as the Trump campaign, did not respond to requests for comment. But Tom Fitton, the head of Judicial Watch, a conservative group that has pushed Ohio and other states to keep their voting lists up to date, described the lawsuit as a “power play” by civil liberties groups “to ensure that candidates they like are able to steal elections if necessary.”  Federal law prohibits states from removing voters solely because they haven’t voted, but it also requires them to keep voter lists up to date. Ohio residents who are removed from voting lists must re-register at least 30 days before an election.  Harmon, the software engineer, backed President Barack Obama in 2008 but has sat out presidential and congressional elections since then. He says he initially thought he had done something wrong to get kicked off the voting rolls. “I felt embarrassed and stupid at the time,” said Harmon, who is involved in the Ohio lawsuit. “The more I think about it, the madder I am,” he said. In Cleveland’s Cuyahoga County, 5 percent of voters in neighborhoods that backed Obama by more than 60 percent in 2012 were purged last year due to inactivity, according to the Reuters analysis of the voter lists. In neighborhoods where Obama got less than 40 percent of the vote, 2.5 percent of registered voters were removed for that reason. In Franklin County, home to the state capital Columbus, 11 percent of voters in Democratic-leaning neighborhoods have been purged since 2012 due to inactivity. Only 6 percent of voters in Republican-leaning neighborhoods have been purged.   The disparity is especially stark in Hamilton County, where affluent Republican suburbs ring Cincinnati, which has one of the highest child-poverty rates in the country. In the heavily African-American neighborhoods near downtown, more than 10 percent of registered voters have been removed due to inactivity since 2012. In suburban Indian Hill, only 4 percent have been purged due to inactivity.  Overall, 30,000 voters have been removed due to inactivity since 2012, a larger figure than Obama’s margin of victory that year.   On a recent rainy afternoon, Amos Project canvasser Marcia Mackey tried to get some of those voters back in the system. Wielding a clipboard and a smile, Mackey asked pedestrians in the Over the Rhine neighborhood north of downtown Cincinnati when they last cast a ballot. If they couldn’t remember, she encouraged them to register again. “People don’t know they’ve been purged until they go to the election site and get turned away,” Mackey said. “We need to make sure that people have voices.”",politicsNews,"June 2, 2016",1
Republican McConnell holds out hope for Obamacare repeal,"WASHINGTON (Reuters) - Mitch McConnell, the U.S. Senate’s top Republican, clung to slim hopes on Tuesday that his party could still dismantle Obamacare, despite not having adequate support for a repeal bill. Facing the possibility of another failure to make good on their 7-year-old pledge to roll back the healthcare law, McConnell told senators the debate on healthcare would continue. He said nothing about whether he would bring the repeal bill to a vote, leaving open the option of letting the measure simply die if more firm votes for it cannot be nailed down. Republicans have vowed for years to get rid of the 2010 Affordable Care Act, or Obamacare, but they are up against a Sept. 30 deadline to pass a bill with a simple majority, or face a much tougher path toward dismantling it. Senator Susan Collins rebuffed intense lobbying from fellow Republicans and the promise of money for her state when she decided on Monday to oppose - and likely doom - the latest effort to repeal Obamacare. It was a blow for President Donald Trump who has made undoing Democratic former President Barack Obama’s signature healthcare law a top priority since the 2016 campaign and who pressured Collins in a call on Monday. Republicans hold a slim 52-48 majority in the Senate and  at least two other Republican senators, John McCain and Rand Paul, have already rejected the bill. No votes from McCain, Collins and another Republican, Lisa Murkowski, killed an effort by the Senate to undo Obamacare in July. While Obamacare extended health insurance to some 20 million Americans, many Republicans believe it is an unwarranted and costly government intrusion into healthcare, while also opposing taxes it imposed on the wealthy. McConnell opened the Senate on Tuesday by praising the measure, which is sponsored by Republican senators Lindsey Graham and Bill Cassidy. He said it contrasted sharply with Democratic proposals for “single-payer” healthcare. “It’s an important debate for our country,” McConnell said. “It’s one that will certainly continue.” The Graham-Cassidy bill would take federal money spent on the Medicaid program for the poor and disabled, as well as subsidies to help Americans buy private insurance, and divvy it up to the states in block grants. One main complaint by opponents of the bill is that it would mean sweeping cuts in funding to Medicaid.",politicsNews,"September 26, 2017",1
